timestamp_epoch;elapsed_s;band;frequency_mhz;adc_channel;adc_code;voltage_v;detector_power_dbm;antenna_power_dbm;antenna_power_w;sample_duration_s;energy_j;cumulative_energy_j;alert_level;net_gain_db;mode
1787053323.3026402;0.0028559750000454187;868 MHz;868.0;0;2566;2.0678388278388278;-38.713553113553104;-71.7135531135531;6.739763986436694e-11;0.1;6.739763986436694e-12;6.739763986436694e-12;VERT;33.0;simulation
1787053323.31675;0.0028559750000454187;2,45 GHz;2450.0;1;2861;2.3055677655677655;-48.22271062271062;-64.92271062271062;3.2190590079644384e-10;0.1;3.2190590079644386e-11;3.2190590079644386e-11;ORANGE;16.7;simulation
1787053323.4028504;0.10295764200003532;868 MHz;868.0;0;2495;2.0106227106227106;-36.42490842490842;-69.42490842490842;1.1415873758126254e-10;0.1;1.1415873758126255e-11;1.815563774456295e-11;ORANGE;33.0;simulation
1787053323.4034371;0.10295764200003532;2,45 GHz;2450.0;1;2892;2.3305494505494506;-49.22197802197802;-65.92197802197802;2.5574208279458364e-10;0.1;2.5574208279458364e-11;5.776479835910275e-11;ORANGE;16.7;simulation
1787053323.5027611;0.2030130400000303;868 MHz;868.0;0;2602;2.096849816849817;-39.873992673992674;-72.87399267399267;5.1594182151922825e-11;0.1;5.159418215192283e-12;2.3315055959755232e-11;VERT;33.0;simulation
1787053323.5032036;0.2030130400000303;2,45 GHz;2450.0;1;2895;2.332967032967033;-49.31868131868132;-66.01868131868132;2.50110467582025e-10;0.1;2.50110467582025e-11;8.277584511730524e-11;ORANGE;16.7;simulation
1787053323.602959;0.303100617000041;868 MHz;868.0;0;2608;2.1016849816849814;-40.06739926739925;-73.06739926739925;4.934692250022831e-11;0.1;4.934692250022831e-12;2.8249748209778063e-11;VERT;33.0;simulation
1787053323.6035302;0.303100617000041;2,45 GHz;2450.0;1;2877;2.3184615384615386;-48.738461538461536;-65.43846153846154;2.8586030065995005e-10;0.1;2.8586030065995006e-11;1.1136187518330025e-10;ORANGE;16.7;simulation
1787053323.7028954;0.40316123600001674;868 MHz;868.0;0;2514;2.0259340659340657;-37.03736263736262;-70.03736263736262;9.914338352877876e-11;0.1;9.914338352877877e-12;3.816408656265594e-11;VERT;33.0;simulation
1787053323.7033322;0.40316123600001674;2,45 GHz;2450.0;1;2814;2.2676923076923075;-46.7076923076923;-63.4076923076923;4.5627930276005234e-10;0.1;4.5627930276005234e-11;1.5698980545930548e-10;ORANGE;16.7;simulation
1787053323.80308;0.5032477390000167;868 MHz;868.0;0;2523;2.033186813186813;-37.32747252747252;-70.32747252747252;9.273693694227915e-11;0.1;9.273693694227915e-12;4.743778025688385e-11;VERT;33.0;simulation
1787053323.8036735;0.5032477390000167;2,45 GHz;2450.0;1;2889;2.3281318681318677;-49.12527472527471;-65.82527472527471;2.615005023356824e-10;0.1;2.6150050233568244e-11;1.8313985569287373e-10;ORANGE;16.7;simulation
1787053323.9031792;0.603327428;868 MHz;868.0;0;2511;2.023516483516483;-36.94065934065932;-69.94065934065932;1.0137574666136934e-10;0.1;1.0137574666136934e-11;5.7575354923020786e-11;ORANGE;33.0;simulation
1787053323.9037516;0.603327428;2,45 GHz;2450.0;1;2886;2.3257142857142856;-49.028571428571425;-65.72857142857143;2.673885813964363e-10;0.1;2.6738858139643632e-11;2.0987871383251735e-10;ORANGE;16.7;simulation
1787053324.0032475;0.7034144309999988;868 MHz;868.0;0;2628;2.117802197802198;-40.71208791208791;-73.71208791208791;4.2539385181918326e-11;0.1;4.253938518191833e-12;6.182929344121261e-11;VERT;33.0;simulation
